# TRADING CODE LTP* HIGH LOW CLOSEP* YCP* CHANGE TRADE VALUE (mn) VOLUME	
155	DELTALIFE	73.1	74.5	72.9	73.1	73.1	0	183	4.3300	59,069	
156	PRIMEBANK	21.3	21.8	21.3	21.3	21.3	0	125	4.2310	198,352	
157	SAIHAMCOT	13.5	13.6	13.4	13.5	13.5	0	135	4.1840	310,377	
158	STANDARINS	37.5	37.8	36.8	37.5	37.2	0.3	261	4.0430	108,186	
159	DESHBANDHU	19	19.5	18.9	19	19.2	-0.2	237	4.0110	210,060	
160	MONNOFABR	14.5	14.8	14.3	14.5	14.4	0.1	195	4.0020	276,423	
161	MEGHNAINS	25.3	25.7	24.7	25.3	25.5	-0.2	254	3.9720	158,588	
162	IBNSINA	293	298.6	292	293	296.9	-3.9	178	3.9380	13,345	
163	MIRACLEIND	27.9	29.6	27.6	27.9	28.9	-1	274	3.9370	139,126	
164	AMCL(PRAN)	216.3	224	215.1	216.3	219.6	-3.3	140	3.9050	17,887	
165	TOSRIFA	20	20.6	19.7	20	20.4	-0.4	186	3.8670	192,021	
166	SEMLLECMF	8.8	8.9	8.7	8.8	8.9	-0.1	108	3.8590	436,980	
167	UNIQUEHRL	40.9	41.5	40.7	40.9	41	-0.1	184	3.8360	93,595	
168	SINOBANGLA	44	45	43.9	43.9	44.5	-0.5	182	3.8240	86,923	
169	PROVATIINS	30.9	31.4	30.8	30.9	31.2	-0.3	210	3.7860	122,020	
170	ABBANK	6.9	7	6.8	6.9	6.8	0.1	199	3.7770	547,822	
171	FAREASTFIN	3.8	4.1	3.7	3.8	3.8	0	164	3.7220	934,262	
172	TITASGAS	20.9	21.4	20.7	20.9	21.1	-0.2	121	3.6580	173,643	
173	TRUSTBANK	21.9	22	21.5	21.8	21.6	0.3	106	3.6540	169,205	
174	LIBRAINFU	794.7	811.9	793.1	794.7	804.3	-9.6	300	3.5640	4,458	
175	LEGACYFOOT	53.8	55.4	53.5	53.8	55	-1.2	323	3.5570	65,741	
